DEF: 38, Nature: NEGATIVE, IV:  0, Roll:  1 ----> 48
DEF: 38, Nature: NEGATIVE, IV:  0, Roll:  2 ----> 48
DEF: 38, Nature: NEGATIVE, IV:  0, Roll:  3 ----> 48
DEF: 38, Nature: NEGATIVE, IV:  0, Roll:  4 ----> 48
DEF: 38, Nature: NEGATIVE, IV:  0, Roll:  5 ----> 48
DEF: 38, Nature: NEGATIVE, IV:  0, Roll:  6 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  0, Roll:  7 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  0, Roll:  8 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  0, Roll:  9 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  0, Roll: 10 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  0, Roll: 11 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  0, Roll: 12 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  0, Roll: 13 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  0, Roll: 14 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  0, Roll: 15 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  0, Roll: 16 ----> 56
DEF: 38, Nature: NEGATIVE, IV:  1, Roll:  1 ----> 48
DEF: 38, Nature: NEGATIVE, IV:  1, Roll:  2 ----> 48
DEF: 38, Nature: NEGATIVE, IV:  1, Roll:  3 ----> 48
DEF: 38, Nature: NEGATIVE, IV:  1, Roll:  4 ----> 48
DEF: 38, Nature: NEGATIVE, IV:  1, Roll:  5 ----> 48
DEF: 38, Nature: NEGATIVE, IV:  1, Roll:  6 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  1, Roll:  7 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  1, Roll:  8 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  1, Roll:  9 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  1, Roll: 10 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  1, Roll: 11 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  1, Roll: 12 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  1, Roll: 13 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  1, Roll: 14 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  1, Roll: 15 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  1, Roll: 16 ----> 56
DEF: 38, Nature: NEGATIVE, IV:  2, Roll:  1 ----> 48
DEF: 38, Nature: NEGATIVE, IV:  2, Roll:  2 ----> 48
DEF: 38, Nature: NEGATIVE, IV:  2, Roll:  3 ----> 48
DEF: 38, Nature: NEGATIVE, IV:  2, Roll:  4 ----> 48
DEF: 38, Nature: NEGATIVE, IV:  2, Roll:  5 ----> 48
DEF: 38, Nature: NEGATIVE, IV:  2, Roll:  6 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  2, Roll:  7 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  2, Roll:  8 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  2, Roll:  9 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  2, Roll: 10 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  2, Roll: 11 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  2, Roll: 12 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  2, Roll: 13 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  2, Roll: 14 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  2, Roll: 15 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  2, Roll: 16 ----> 56
DEF: 38, Nature: NEGATIVE, IV:  3, Roll:  1 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  3, Roll:  2 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  3, Roll:  3 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  3, Roll:  4 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  3, Roll:  5 ----> 50
DEF: 38, Nature: NEGATIVE, IV:  3, Roll:  6 ----> 54
DEF: 38, Nature: NEGATIVE, IV:  3, Roll:  7 ----> 54
